"","X_Avena_barbata","X_Bromus_diandrus","X_Conyza_parva","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia_peplus","X_Fumaria_capreolata","X_Hordeum_leporinum","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lotus_angustissimus","X_Pelargonium_capitatum","X_Rumex_crispus","X_Sonchus_asper","X_Sonchus_oleraceus","X_Symphyotrichum_squamatum","X_Unknown_shrub","X_Vicia_sativa","Acacia_saligna","Azolla_sp_","Banksia_littoralis","Centella_asiatica","Eucalyptus_rudis","Melaleuca_rhaphiophylla","Persicaria_decipiens"
"X_Avena_barbata",1,0.225557419186249,0.0729848992847597,0.13049960254552,0.161274621611389,0.247874017724377,0.0949956157550345,0.186643641335474,0.0321575764649727,0.0326254385011597,0.05311592078638,0.0248790099191259,0.172613087215658,-0.0171783726218478,0.0051504344840886,0.113327460948168,-0.0244231504589834,0.0335868448752446,0.243916386184369,0.00193963560917629,-0.0359198256867408,0.0175619677475813,0.0140896789500198,-0.0134786662334982,0.0344695406440239,-0.0422205617730266
"X_Bromus_diandrus",0.225557419186249,1,0.116605095286159,0.346890492790456,0.379364815807687,0.617821412366141,0.166646694477397,0.396235815004691,0.00755117860302734,0.0624933408336127,0.0444698322134413,0.0403661413232739,0.435378931333521,-0.0428886064921341,-0.0315547200044064,0.275805818549377,-0.0631910003171206,0.0827131266766434,0.604588855842974,-0.00277544495492239,-0.122379041591429,0.00455143429860055,0.0437456822852958,0.0287094233358716,0.0940391628683857,-0.121658497828014
"X_Conyza_parva",0.0729848992847597,0.116605095286159,1,0.00627140003848825,0.148984302141394,0.14600063864794,0.0691624686642178,0.128087564360411,0.0631943678536185,0.0177976249530661,0.0789084124703017,0.0365562617717683,0.184397832363737,-0.0189636542365289,0.0148492008762626,0.154354946655389,-0.0108456661822916,0.0394474583435152,0.143366489825547,0.00889973968142757,-0.0283352036133205,0.0215429896980871,0.0292961004305811,-0.0410935109194221,0.02726636299538,-0.0143465057621358
"X_Cynodon_dactylon",0.13049960254552,0.346890492790456,0.00627140003848825,1,0.194818530567161,0.434396165481276,0.00937979076525849,0.189455621938473,-0.106019111691966,0.0325712640797981,-0.0820131329480466,0.00912172275031923,0.228881715185116,-0.0296326262980142,-0.080247877283004,0.0844454041885048,-0.06108029845474,0.0517443934001341,0.400883809474588,-0.00590182531715139,-0.0871410073999623,-0.0562374337793677,0.0504019603366714,0.153608425584771,0.131949913100945,-0.0854783647776434
"X_Ehrharta_calycina",0.161274621611389,0.379364815807687,0.148984302141394,0.194818530567161,1,0.449776455678048,0.0764626882828396,0.27527744626729,0.090389757181125,0.030894049237588,0.0974979751891737,0.0429113147211041,0.410206257873121,-0.0570876692300916,-0.00826638985808394,0.282589119700203,-0.0602876165926629,0.0716235848032342,0.457281110786569,0.0159923728909926,-0.0854182160006987,0.00379797533615701,0.0570327116509834,0.0551084099963872,0.138816914631496,-0.0863183953949139
"X_Ehrharta_longiflora",0.247874017724377,0.617821412366141,0.14600063864794,0.434396165481276,0.449776455678048,1,0.175526508141539,0.485302542323181,0.0164445543580657,0.0679849105612389,0.0638006892747481,0.0475109194707682,0.507772931668397,-0.0528207448526393,-0.0491620111352506,0.313814292814291,-0.0835773675019358,0.0885825531890395,0.687291973482511,-0.00514474165417531,-0.141856019590569,-0.00514252329673114,0.0416332423090205,0.0804024499809562,0.15653386027771,-0.14069487823315
"X_Euphorbia_peplus",0.0949956157550345,0.166646694477397,0.0691624686642178,0.00937979076525849,0.0764626882828396,0.175526508141539,1,0.199683031607929,0.0824198410724299,0.0338165176489581,0.106048649488286,0.0146871094015332,0.0964642898401285,-0.00671969663296285,0.0341251276270538,0.104102494879622,-0.00312842438981899,0.00933973904167409,0.124866947056141,-0.010035605443218,-0.0386895941576388,0.0536110466426963,-0.0646712876436188,-0.0761673656629954,-0.0290096427140979,-0.0369899440405662
"X_Fumaria_capreolata",0.186643641335474,0.396235815004691,0.128087564360411,0.189455621938473,0.27527744626729,0.485302542323181,0.199683031607929,1,0.0417621915345664,0.0522443132002443,0.112863083704507,0.0423187059687094,0.330328929296813,-0.0383935257605459,0.00687065979261218,0.243222399968788,-0.0471624664215008,0.0578726492836469,0.414545699531929,-0.0020815691687559,-0.084622324944945,0.0384751853289257,-0.00433790319133614,-0.0603926252553104,0.049596508493545,-0.0752516529145323
"X_Hordeum_leporinum",0.0321575764649727,0.00755117860302734,0.0631943678536185,-0.106019111691966,0.090389757181125,0.0164445543580657,0.0824198410724299,0.0417621915345664,1,-0.00276083074984088,0.114458540396546,0.0108833155113939,0.0757715177891366,-0.0152178920245635,0.0417335389885197,0.110253253788398,-0.00619357315103331,0.00498349562364725,0.0332300703332851,0.00555095016751911,0.00294482312872607,0.0280965467688135,-0.0171211730910916,-0.0418012138691677,-0.0120137228904164,0.00174704534943485
"X_Hypochaeris_glabra",0.0326254385011597,0.0624933408336127,0.0177976249530661,0.0325712640797981,0.030894049237588,0.0679849105612389,0.0338165176489581,0.0522443132002443,-0.00276083074984088,1,0.00237618856832702,0.00537857141365441,0.0408966783859935,-2.17690730878397e-05,-0.00194207970565856,0.0298373703335959,-0.00303504866368115,0.00914004662863544,0.0609965670139931,-0.000772771902301255,-0.0131469790829846,0.00109656012224294,0.00780765725548712,-0.0193545677129274,0.00195212649862378,-0.0108237304610657
"X_Lactuca_serriola",0.05311592078638,0.0444698322134413,0.0789084124703017,-0.0820131329480466,0.0974979751891737,0.0638006892747481,0.106048649488286,0.112863083704507,0.114458540396546,0.00237618856832702,1,0.0162463847670489,0.102085413558579,-0.010286564506088,0.0477036975085194,0.111553590756522,0.00993456781193331,0.019665735571298,0.0527822662803799,0.00758539205723932,-0.0113374042964857,0.0470730361160662,-0.0024573512802407,-0.0660489287408374,-0.00934255220031318,-0.00538154888900404
"X_Lotus_angustissimus",0.0248790099191259,0.0403661413232739,0.0365562617717683,0.00912172275031923,0.0429113147211041,0.0475109194707682,0.0146871094015332,0.0423187059687094,0.0108833155113939,0.00537857141365441,0.0162463847670489,1,0.0592191877002065,-0.0040973229180708,0.00318606183992458,0.0559776422008781,-0.0032631614531651,0.0139741452544232,0.0486157063414086,0.00141050416304484,-0.0117013078549183,0.000141729265733771,0.00724551439930413,-0.000669695184798404,0.024766956841611,-0.000859971899100219
"X_Pelargonium_capitatum",0.172613087215658,0.435378931333521,0.184397832363737,0.228881715185116,0.410206257873121,0.507772931668397,0.0964642898401285,0.330328929296813,0.0757715177891366,0.0408966783859935,0.102085413558579,0.0592191877002065,1,-0.062177171596508,-0.003158686255585,0.323745494838086,-0.0647015004052749,0.0878919665346869,0.497564356759816,-0.000532565151422638,-0.093780903962215,0.0122222290850364,0.0771202937904489,0.0566370098404001,0.161183439034647,-0.0795704435237862
"X_Rumex_crispus",-0.0171783726218478,-0.0428886064921341,-0.0189636542365289,-0.0296326262980142,-0.0570876692300916,-0.0528207448526393,-0.00671969663296285,-0.0383935257605459,-0.0152178920245635,-2.17690730878395e-05,-0.010286564506088,-0.0040973229180708,-0.062177171596508,1,0.00409109944097747,-0.0352527265088441,0.0156795266968155,-0.00663315880960792,-0.0583654856304948,0.000666969053974724,0.0169265888579701,0.00368955231214661,-0.0091864622156912,-0.019216393426411,-0.0335163056525689,0.0148644452092288
