"","X_Avena_barbata","X_Bromus_diandrus","X_Conyza_parva","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia_peplus","X_Fumaria_capreolata","X_Hordeum_leporinum","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lotus_angustissimus","X_Pelargonium_capitatum","X_Rumex_crispus","X_Sonchus_asper","X_Sonchus_oleraceus","X_Symphyotrichum_squamatum","X_Unknown_shrub","X_Vicia_sativa","Acacia_saligna","Azolla_sp_","Banksia_littoralis","Centella_asiatica","Eucalyptus_rudis","Melaleuca_rhaphiophylla","Persicaria_decipiens"
"X_Avena_barbata",0,0.0988653457177359,0.0388155187773325,0.0258840815535497,0.0531938234350942,0.0207002329160938,0.057415277032627,0.0409360373500124,0.0858342919140471,0.0123399601402764,0.0120765010905685,0.0155776341481338,0.013449689453467,0.0407608757180367,0.010232300267004,0.0289711678806446,0.0197340555070162,0.0248214568646682,0.0325964211583633,0.0257635594824839,0.00803686385257458,0.0270301753745096,0.0545872878152107,0.0423852330413233,0.0563967886391453,0.0342902905950462
"X_Bromus_diandrus",0.0988653457177359,0,0.18173971270788,0.225579034735138,0.291957600024658,0.304068638713934,0.356369402682264,0.378370556408946,0.388051113377146,0.0929432973571188,0.150410785836126,0.117960134401152,0.200199500776219,0.184906646806467,0.0530627250041495,0.273048404307111,0.110529428184343,0.202116934375593,0.262267016164881,0.0976399432868764,0.0437610932525613,0.138825641051777,0.316979216572731,0.336196842579552,0.334367746481269,0.219865051496336
"X_Conyza_parva",0.0388155187773325,0.18173971270788,0,0.128627341823607,0.136584328490348,0.132376812267321,0.211351842548001,0.153218007430108,0.197985707106804,0.0547164874737374,0.0642057001950794,0.0461668494659058,0.103570986674102,0.0756253028261042,0.0635749892331443,0.131720779465259,0.137976536682816,0.048617904006098,0.171019739104098,0.0467139032382506,0.0243611008998596,0.164965052813502,0.239492178803111,0.236500359287646,0.240885559805143,0.140717877551042
"X_Cynodon_dactylon",0.0258840815535497,0.225579034735138,0.128627341823607,0,0.238109820393884,0.219596163794553,0.167107687153059,0.144813996766312,0.120170678196962,0.080576135981806,0.10713800089026,0.0793035098135064,0.200310872357724,0.0992930062802876,0.0642168899522127,0.195092254998186,0.0589916797050566,0.10936360818697,0.220746789899519,0.0792431651616312,0.0259323069653319,0.0807003633313414,0.190097047043899,0.155966994497897,0.169766875194105,0.176696700451034
"X_Ehrharta_calycina",0.0531938234350942,0.291957600024658,0.136584328490348,0.238109820393884,0,0.293743182388121,0.320307943293724,0.35256441616995,0.223678252799184,0.188094418594019,0.135008851455991,0.0763072510162226,0.229529712578505,0.185822609744045,0.096575946955075,0.328213825664335,0.141514156170756,0.160938655625543,0.206262008238167,0.0969505350392795,0.045800890007708,0.138311916974773,0.224488013246074,0.18473442268211,0.150454304981505,0.289141311260345
"X_Ehrharta_longiflora",0.0207002329160938,0.304068638713934,0.132376812267321,0.219596163794553,0.293743182388121,0,0.221821784483385,0.332929025751451,0.128730696724012,0.1545428022251,0.135326631780266,0.103160117218233,0.246716682048211,0.166873523479297,0.0924888536496236,0.296648022325633,0.0882493855629352,0.166891329305756,0.240720093570359,0.104600513776172,0.0417991884746672,0.112715753061065,0.143892021804398,0.123777380701309,0.175727609063482,0.268515561186421
"X_Euphorbia_peplus",0.057415277032627,0.356369402682264,0.211351842548001,0.167107687153059,0.320307943293724,0.221821784483385,0,0.401874323292294,0.302710723628714,0.181468035346517,0.12431641135401,0.139045228272644,0.260146804429002,0.182227586224539,0.0609693175376558,0.287024368788957,0.200973757283337,0.166651722347674,0.320173006552069,0.102754138481886,0.0497786803897197,0.191813811449428,0.290726172146736,0.316904081791104,0.357338042618298,0.154504174018315
"X_Fumaria_capreolata",0.0409360373500124,0.378370556408946,0.153218007430108,0.144813996766312,0.35256441616995,0.332929025751451,0.401874323292294,0,0.267047652637873,0.0644704864989765,0.169972823628203,0.100791997664441,0.223012225478432,0.107271338814223,0.0216789895275204,0.265424980915077,0.20908147248168,0.181138417924189,0.255457004145191,0.0464088866014058,0.0434004520928322,0.201480578566592,0.288086789728241,0.225305948261013,0.204863518302451,0.279542293935836
"X_Hordeum_leporinum",0.0858342919140471,0.388051113377146,0.197985707106804,0.120170678196962,0.223678252799184,0.128730696724012,0.302710723628714,0.267047652637873,0,0.0749262307107137,0.125951677676852,0.114842290258081,0.226678500147164,0.172765036444931,0.0855056371958496,0.322259661821176,0.171300688965409,0.107365942154702,0.19876897439304,0.113382410584685,0.0296846921137895,0.176873230377148,0.26455687990547,0.333578934682638,0.388355369801778,0.155884792116937
"X_Hypochaeris_glabra",0.0123399601402764,0.0929432973571188,0.0547164874737374,0.080576135981806,0.188094418594019,0.1545428022251,0.181468035346517,0.0644704864989765,0.0749262307107137,0,0.0475296130399482,0.0330365481803511,0.151511317732387,0.0732114121724358,0.0213093127563545,0.103101521297279,0.0293355908993889,0.0535633052128236,0.155997967095965,0.0473707126655435,0.0213869256459994,0.04046587958333,0.0499835721525042,0.053763790387197,0.0778502229238213,0.0688488122621639
"X_Lactuca_serriola",0.0120765010905685,0.150410785836126,0.0642057001950794,0.10713800089026,0.135008851455991,0.135326631780266,0.12431641135401,0.169972823628203,0.125951677676852,0.0475296130399482,0,0.0632595401388386,0.103935605426211,0.064859390273075,0.0197295278497704,0.143521186717958,0.0942699849649284,0.0609310710699828,0.129415039595027,0.0377667657844882,0.0191111809795573,0.0854369502248638,0.134868774487693,0.115601864719404,0.0807847797657276,0.108934541529779
"X_Lotus_angustissimus",0.0155776341481338,0.117960134401152,0.0461668494659058,0.0793035098135064,0.0763072510162226,0.103160117218233,0.139045228272644,0.100791997664441,0.114842290258081,0.0330365481803511,0.0632595401388386,0,0.0653391319858095,0.0488746104659753,0.026910634308326,0.0737974332960312,0.0525411191152314,0.0288139464982352,0.107008930965179,0.0261342569680225,0.0148480681579474,0.0587884087031783,0.0834295368816319,0.125480556474564,0.118314232377033,0.0802169957971213
"X_Pelargonium_capitatum",0.013449689453467,0.200199500776219,0.103570986674102,0.200310872357724,0.229529712578505,0.246716682048211,0.260146804429002,0.223012225478432,0.226678500147164,0.151511317732386,0.103935605426211,0.0653391319858095,0,0.134041437255174,0.0421210874428642,0.243976742174809,0.166969778203258,0.0929480458772257,0.308855401816939,0.0957749939012892,0.0335200927555067,0.149748447160122,0.219214923308347,0.291028777053288,0.290959658761381,0.140171538636123
"X_Rumex_crispus",0.0407608757180367,0.184906646806467,0.0756253028261042,0.0992930062802876,0.185822609744045,0.166873523479297,0.182227586224539,0.107271338814224,0.172765036444931,0.0732114121724358,0.064859390273075,0.0488746104659753,0.134041437255174,0,0.0353338851105878,0.0775896760714887,0.0677646543690366,0.0930768941013468,0.217884256714354,0.0589254825503288,0.0237202189315335,0.0914321722527561,0.148354170130607,0.154438603176799,0.170944572838611,0.067908068954347
"X_Sonchus_asper",0.010232300267004,0.0530627250041495,0.0635749892331443,0.0642168899522127,0.096575946955075,0.0924888536496236,0.0609693175376558,0.0216789895275204,0.0855056371958496,0.0213093127563545,0.0197295278497704,0.026910634308326,0.0421210874428642,0.0353338851105878,0,0.118740192142574,0.0256039533066671,0.0273120192953469,0.0883222958664604,0.0375950915205055,0.0141043102193423,0.0514528138662087,0.0709360262183866,0.0628871365611327,0.102074575360674,0.104201633946513
"X_Sonchus_oleraceus",0.0289711678806446,0.273048404307111,0.131720779465259,0.195092254998186,0.328213825664335,0.296648022325633,0.287024368788957,0.265424980915077,0.322259661821176,0.103101521297279,0.143521186717958,0.0737974332960312,0.243976742174809,0.0775896760714887,0.118740192142574,0,0.144341919704942,0.10833407976142,0.338881022664925,0.0894448853918846,0.0183844517930967,0.166504228389235,0.197466474929503,0.318303213547537,0.309618775896304,0.226186795100783
"X_Symphyotrichum_squamatum",0.0197340555070162,0.110529428184343,0.137976536682816,0.0589916797050566,0.141514156170756,0.0882493855629353,0.200973757283337,0.20908147248168,0.171300688965409,0.0293355908993889,0.0942699849649284,0.0525411191152314,0.166969778203258,0.0677646543690366,0.0256039533066671,0.144341919704942,0,0.0540446749477297,0.140896352854057,0.0296773495213559,0.0176069277053002,0.199579701909539,0.252562010505361,0.238650817170833,0.201034231668489,0.134431370398232
"X_Unknown_shrub",0.0248214568646682,0.202116934375593,0.048617904006098,0.10936360818697,0.160938655625543,0.166891329305756,0.166651722347674,0.181138417924189,0.107365942154702,0.0535633052128236,0.0609310710699828,0.0288139464982352,0.0929480458772257,0.0930768941013467,0.0273120192953469,0.10833407976142,0.0540446749477297,0,0.207307079237446,0.0419895693342496,0.0278350942212195,0.118132081878313,0.220030671650771,0.13019403843666,0.186105218783378,0.117441067087841
"X_Vicia_sativa",0.0325964211583633,0.262267016164881,0.171019739104098,0.220746789899519,0.206262008238167,0.240720093570359,0.320173006552069,0.255457004145191,0.19876897439304,0.155997967095965,0.129415039595027,0.107008930965179,0.308855401816939,0.217884256714354,0.0883222958664604,0.338881022664925,0.140896352854057,0.207307079237446,0,0.10185169770425,0.0328840425664988,0.160191796111614,0.244158925707725,0.304075762952241,0.2692819619012,0.243233597189367
"Acacia_saligna",0.0257635594824839,0.0976399432868764,0.0467139032382506,0.0792431651616312,0.0969505350392795,0.104600513776172,0.102754138481886,0.0464088866014058,0.113382410584685,0.0473707126655435,0.0377667657844882,0.0261342569680225,0.0957749939012892,0.0589254825503288,0.0375950915205055,0.0894448853918846,0.0296773495213559,0.0419895693342496,0.10185169770425,0,0.0153871691568078,0.0496607149047548,0.0740185011963906,0.0874920468104536,0.101330599034759,0.090912766035898
"Azolla_sp_",0.00803686385257458,0.0437610932525613,0.0243611008998596,0.0259323069653319,0.045800890007708,0.0417991884746672,0.0497786803897197,0.0434004520928322,0.0296846921137895,0.0213869256459994,0.0191111809795573,0.0148480681579474,0.0335200927555067,0.0237202189315335,0.0141043102193423,0.0183844517930967,0.0176069277053003,0.0278350942212195,0.0328840425664988,0.0153871691568078,0,0.0270551551336946,0.0464650831822668,0.0392619672475418,0.051069251027959,0.0381515250124462
"Banksia_littoralis",0.0270301753745096,0.138825641051777,0.164965052813502,0.0807003633313414,0.138311916974773,0.112715753061065,0.191813811449428,0.201480578566592,0.176873230377148,0.04046587958333,0.0854369502248638,0.0587884087031783,0.149748447160122,0.0914321722527561,0.0514528138662087,0.166504228389235,0.199579701909539,0.118132081878313,0.160191796111614,0.0496607149047548,0.0270551551336946,0,0.274876236979225,0.209541486048647,0.232306132415233,0.117149298198746
"Centella_asiatica",0.0545872878152107,0.316979216572731,0.239492178803111,0.190097047043899,0.224488013246074,0.143892021804398,0.290726172146736,0.288086789728241,0.26455687990547,0.0499835721525042,0.134868774487693,0.0834295368816319,0.219214923308347,0.148354170130607,0.0709360262183866,0.197466474929503,0.252562010505361,0.220030671650771,0.244158925707725,0.0740185011963906,0.0464650831822668,0.274876236979225,0,0.243429812185808,0.371371636507207,0.156270905211333
"Eucalyptus_rudis",0.0423852330413233,0.336196842579552,0.236500359287646,0.155966994497897,0.18473442268211,0.123777380701309,0.316904081791104,0.225305948261013,0.333578934682638,0.053763790387197,0.115601864719404,0.125480556474564,0.291028777053288,0.154438603176799,0.0628871365611327,0.318303213547537,0.238650817170833,0.13019403843666,0.304075762952241,0.0874920468104536,0.0392619672475418,0.209541486048647,0.243429812185808,0,0.304705789473605,0.180330952798592
"Melaleuca_rhaphiophylla",0.0563967886391453,0.334367746481269,0.240885559805143,0.169766875194105,0.150454304981505,0.175727609063482,0.357338042618298,0.204863518302451,0.388355369801778,0.0778502229238213,0.0807847797657276,0.118314232377033,0.290959658761381,0.170944572838611,0.102074575360674,0.309618775896304,0.201034231668489,0.186105218783378,0.2692819619012,0.101330599034759,0.051069251027959,0.232306132415232,0.371371636507207,0.304705789473605,0,0.255907484014893
"Persicaria_decipiens",0.0342902905950462,0.219865051496336,0.140717877551042,0.176696700451034,0.289141311260345,0.268515561186421,0.154504174018315,0.279542293935836,0.155884792116937,0.0688488122621639,0.108934541529779,0.0802169957971213,0.140171538636123,0.067908068954347,0.104201633946513,0.226186795100783,0.134431370398232,0.117441067087841,0.243233597189367,0.090912766035898,0.0381515250124462,0.117149298198746,0.156270905211333,0.180330952798592,0.255907484014893,0
