"","X_Acacia_longifolia","X_Arctotheca_sp_","X_Avena_fatua","X_Briza_maxima","X_Briza_minor","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Conyza_bonariensis","X_Ehrharta_calycina","X_Ehrhata_longiflora","X_Euphorbia_sp_","X_Fumaria_capreolata","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Lolium_rigidum","X_Lotus_suaveolens","X_Pelargonium_capitatum","X_Pentaschistis_airoides","X_Petrorhagia_dubia","X_Poa_annua","X_Romulea_rosea","X_Solanum_nigricans","X_Sonchus_asper","X_Sonchus_oleraceus","X_Trifolium_sp_","X_Ursinia_anthemoides","X_Vulpia_myuros","X_Wahlenbergia_capensis","X_Watsonia_sp_","Acacia_cyclops","Acacia_saligna","Agrostis_avenacea","Angianthus_sp_","Aster_sp_","Baumea_articulata","Centella_cordifolia","Cotula_coronopifolia","Epilobium_billardierianum","Eucalyptus_rudis","Exocarpus_sparteus","Isolepis_cernua","Jacksonia_furcellata","Juncus_sp_","Lepyrodia_muirii","Lobelia_alata","Melaleuca_teretifolia","Podolepis_lessonii","Podotheca_angustifolium","Sedge_B","Sonchus_sp_","Villarsia_capitata","Viminaria_juncea"
"X_Acacia_longifolia",0,0.0218862363166948,0.017538754566951,0.0180998526033483,0.0561230808926001,0.0182339636190749,0.0671901161739779,0.112817722781072,0.123673833536877,0.074622031515143,0.0162485636783671,0.0213316924054356,0.0103572971142672,0.0414831915433231,0.016948582721105,0.0288174467574903,0.0118387404670856,0.02192153393784,0.0320186148040852,0.0300300496027967,0.014451941448424,0.0226918176922453,0.0212840532951386,0.0109801874507691,0.0719167197097781,0.00502737603039562,0.0619709645755576,0.0340570046395588,0.00776270889015646,0.0371756149915264,0.0550135385842465,0.011217349953887,0.0547445293735219,0.0186128835821593,0.0461553088718141,0.0418296108319162,0.0154992953410236,0.0191191746450608,0.0500183713603624,0.061530358546651,0.0269874873661595,0.104895571270906,0.0511234046285248,0.0181512582359227,0.025799459984654,0.0100752705709653,0.12499796537656,0.00713988509275263,0.022078137084203,0.104341544987271,0.128715548206966,0.0182697857215567
"X_Arctotheca_sp_",0.0218862363166948,0,0.0174880741200324,0.0253145106202951,0.026031064793648,0.0111710259698287,0.0425839267213567,0.0621312946384435,0.056227223247234,0.0484033071920979,0.035934981873737,0.0153273473990747,0.00889912698119037,0.0266067319120515,0.017809730955016,0.056961615943847,0.0106614418281568,0.0125230376438024,0.0183753815871382,0.0197971744310559,0.015033122354228,0.0161523402761133,0.0187883339352764,0.014107457322686,0.0261889958161343,0.00402637853863305,0.0425365818288535,0.0575118996067202,0.0105951794934026,0.0294607143162685,0.0323522473413947,0.0202035558977627,0.0575378084805192,0.010983724585486,0.0421334207294733,0.0175322337149218,0.0143349740939538,0.0102778651711273,0.0310013513319513,0.0288402881779855,0.0410769844232267,0.0474997218584438,0.0371734219832662,0.0247266066621737,0.0221036151157605,0.0134197138851396,0.0678866461235394,0.018395578570733,0.0304425953503062,0.0510573733050101,0.0924338334248402,0.00882912051608246
"X_Avena_fatua",0.017538754566951,0.0174880741200324,0,0.0348887545544217,0.0277533877444121,0.0112906311327635,0.026952525964956,0.0362726529100307,0.0323720750514068,0.0454353549406651,0.0512842120942298,0.0227667609432556,0.015911110466777,0.0324520067555316,0.0182894840761936,0.0754096224850147,0.0111008946516644,0.0161835700595892,0.0234503274737205,0.017950456145907,0.0144468511235443,0.0215883377887676,0.0156222397158484,0.0128267267567977,0.0223775033079705,0.0093623570808016,0.0216608075828678,0.0600152138658133,0.00728220225468611,0.026774125021739,0.0263219427399326,0.020265609886517,0.0523860224937969,0.00950137454379914,0.0333611569556502,0.0149314213823896,0.0245980020460777,0.0140978965653807,0.0256436091931398,0.0342305030007595,0.0210307014561043,0.0332350587208221,0.037299578227658,0.0331751437012861,0.0283625557186899,0.0184582779575225,0.050566767165468,0.0205931847834939,0.0329716126477293,0.0530351508322524,0.0604068334107051,0.0169270381853695
"X_Briza_maxima",0.0180998526033483,0.0253145106202951,0.0348887545544217,0,0.0499587776168621,0.0252059918105753,0.058236321582004,0.045692810706759,0.0396620790484921,0.076222922517609,0.0944999067587406,0.0518082842824533,0.0396975769010337,0.0903231547551083,0.0328491991869918,0.113570855658071,0.0247926155755623,0.0514066228277248,0.0309320585260991,0.033056019866477,0.0227697174905066,0.030786001940601,0.0464029532076178,0.0321325303161639,0.0356363024679535,0.0260559677825231,0.0434146245824401,0.0929831847633241,0.0240532855221414,0.0661146824025976,0.0662698979059309,0.0413928977247234,0.0832454138718353,0.0256525984657961,0.0721988789374969,0.0332862247016352,0.0418537380031256,0.0183247229644996,0.0428363298821307,0.0806275897085784,0.0553510572150547,0.049643491728261,0.0855389413147449,0.0616061337518952,0.0410658266447549,0.0362069061976055,0.12305503914438,0.0443070767693635,0.0633132487836832,0.0957867341011006,0.0973284424529334,0.0354541228423591
"X_Briza_minor",0.0561230808926001,0.026031064793648,0.0277533877444121,0.0499587776168621,0,0.0277955398254942,0.0575308784683511,0.100105547900747,0.139475341883449,0.117117211182702,0.0525019703745084,0.021184620048684,0.0147710864382374,0.0379478232047497,0.0249999559537869,0.0336195576275964,0.0135654254337037,0.0179503556041383,0.0361193498413367,0.0261637778629791,0.0101246220044742,0.0178876860803103,0.0241678078194223,0.0153441841937728,0.106114857588584,0.0125416597205375,0.0932882152498392,0.024721166152831,0.00736051037440914,0.0376813848113286,0.0783615809403439,0.0282747496788102,0.0542016391692641,0.0336995179634595,0.0200844214464068,0.0269015916019884,0.0327057178341422,0.0103927455554727,0.061545932468321,0.0945262695708965,0.0313744104159691,0.132785473044567,0.0430172908294433,0.0262893582672878,0.0224888123400294,0.0225987837027736,0.11979785239356,0.0242960645454058,0.017690975822383,0.143913404659388,0.12007779687551,0.0184452283865407
"X_Bromus_diandrus",0.0182339636190749,0.0111710259698287,0.0112906311327635,0.0252059918105753,0.0277955398254942,0,0.0364529136583388,0.0328868123185096,0.0479988162545165,0.0385912152048978,0.0289926924512199,0.0129704832344524,0.0136370444068895,0.0221731587280194,0.0184261990443279,0.0540931058871327,0.00837623482809697,0.00958314909761494,0.0203376978561749,0.0133104566988526,0.0131228653359741,0.0134815521952829,0.0106247966453614,0.010001249553793,0.0383072821362786,0.00503858802990094,0.0368034796838155,0.0471821477923371,0.00527165342823265,0.0249777507284204,0.0318332182816763,0.012203290778165,0.0385369312386313,0.0114935723989789,0.0284005455543804,0.0050878426373283,0.00833466671900926,0.00931940409324441,0.0212940383212851,0.0352677704516644,0.0187594913127781,0.0445738796102935,0.0277299327891346,0.0201244467802469,0.017965277487405,0.00998821344314075,0.0520176771912117,0.010212935524254,0.0208810600812438,0.0522458841950773,0.0655166172784278,0.0109855352568488
"X_Carpobrotus_edulis",0.0671901161739779,0.0425839267213567,0.026952525964956,0.058236321582004,0.0575308784683511,0.0364529136583388,0,0.116679257981179,0.161740165781273,0.0473137740995011,0.0614049007392729,0.0513740967695074,0.0359259409692768,0.0941341805191278,0.0534504828946773,0.130065911031795,0.0287952187197048,0.0634498804744826,0.0642713906859617,0.060593955761027,0.019305424105956,0.0207501989479928,0.0360059955166926,0.0287178820958387,0.11418590238745,0.0143075166520386,0.065379551703576,0.109854471941797,0.0303358889850089,0.0673015158973932,0.0847297294447448,0.0337036185898012,0.0846243654198203,0.0214345179456486,0.0787693277092528,0.0697237038244284,0.0235851068678606,0.0321981838668872,0.107799640477457,0.117823778032039,0.0531162359508911,0.138651804422148,0.128784293084081,0.0648319707592968,0.0453145366124062,0.017675303957074,0.165756879021323,0.0363158176856791,0.0857993718218185,0.164781954783592,0.166338484154444,0.0241549787397243
"X_Conyza_bonariensis",0.112817722781072,0.0621312946384435,0.0362726529100307,0.045692810706759,0.100105547900747,0.0328868123185096,0.116679257981179,0,0.234647211280799,0.171903392162538,0.0891419530588696,0.0459805179951167,0.031223457123099,0.0494851920691944,0.0384136119012635,0.109366393302208,0.0135797447456025,0.0483106265632815,0.0688537044816828,0.0577552751107058,0.0261520045458717,0.0377482934118975,0.036446081301821,0.010917326436301,0.140358688298646,0.0125858544014082,0.124188261310105,0.104292738170088,0.0162051022887919,0.0586690295119776,0.115661271307657,0.0429460069865453,0.105140018149713,0.0418637520574762,0.0823307263850376,0.0704372011128565,0.0235304588393739,0.032055511927938,0.114389734824331,0.121120004219082,0.0711383780475337,0.2168550265104,0.107666317750697,0.0324615380783959,0.0595958058955315,0.0314994176896898,0.247732517886784,0.0368385000442663,0.0501800010484222,0.237558763195031,0.229586979314669,0.0356804230346129
"X_Ehrharta_calycina",0.123673833536877,0.056227223247234,0.0323720750514068,0.0396620790484921,0.139475341883449,0.0479988162545165,0.161740165781273,0.234647211280799,0,0.159993975754896,0.0586005132963288,0.0480835196117863,0.0226384866115072,0.0973186795749392,0.0619582692362088,0.136958765161662,0.0273073186781156,0.0604420959742774,0.0739009288821346,0.0761677534172283,0.0305854476977393,0.0522800637257131,0.0536281973843487,0.0217812503782839,0.193455245628444,0.0161354300460213,0.160125499164528,0.110382652271309,0.0186688421917679,0.092522484381285,0.140410502561242,0.0253774323904473,0.113696864756488,0.0458991716400995,0.0837865625395853,0.0910797914373956,0.0238513671533703,0.0432718754227917,0.134541114425387,0.158994350428546,0.0720690559635486,0.256159206712431,0.138320788490349,0.0533709391078391,0.0562860478816879,0.0280198673688753,0.294533542657804,0.0234024211169967,0.0639312031160618,0.275567775029029,0.292409188214141,0.0336273809085465
"X_Ehrhata_longiflora",0.074622031515143,0.0484033071920979,0.0454353549406651,0.076222922517609,0.117117211182702,0.0385912152048978,0.0473137740995011,0.171903392162538,0.159993975754896,0,0.134384871331737,0.0560315105465736,0.0204855544589876,0.0507287530335104,0.0442155254597704,0.144660719039198,0.016259701257799,0.0281230740647716,0.0512845646452528,0.0348848209569358,0.0217341074102557,0.0343147624451276,0.0229856464101094,0.0328013006601087,0.107270301447092,0.0106419946058744,0.129257276975334,0.0930303311968557,0.0301703746093356,0.0535459690609052,0.0629307981810061,0.0799258082803221,0.12554798774679,0.0456718515198517,0.103403451635911,0.0312266370853566,0.0304107610955607,0.040100940597161,0.0344276427598611,0.0801580519494199,0.0743024858656864,0.169472095609696,0.124041981955608,0.0625517366788621,0.0594119830330791,0.022357142731288,0.162979716975394,0.0654674013399256,0.052837232696871,0.18673441060967,0.170966109280824,0.0394899760483308
