"","X_Acacia_longifolia","X_Arctotheca_sp_","X_Avena_fatua","X_Briza_maxima","X_Briza_minor","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Conyza_bonariensis","X_Ehrharta_calycina","X_Ehrhata_longiflora","X_Euphorbia_sp_","X_Fumaria_capreolata","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Lolium_rigidum","X_Lotus_suaveolens","X_Pelargonium_capitatum","X_Pentaschistis_airoides","X_Petrorhagia_dubia","X_Poa_annua","X_Romulea_rosea","X_Solanum_nigricans","X_Sonchus_asper","X_Sonchus_oleraceus","X_Trifolium_sp_","X_Ursinia_anthemoides","X_Vulpia_myuros","X_Wahlenbergia_capensis","X_Watsonia_sp_","Acacia_cyclops","Acacia_saligna","Agrostis_avenacea","Angianthus_sp_","Aster_sp_","Baumea_articulata","Centella_cordifolia","Cotula_coronopifolia","Epilobium_billardierianum","Eucalyptus_rudis","Exocarpus_sparteus","Isolepis_cernua","Jacksonia_furcellata","Juncus_sp_","Lepyrodia_muirii","Lobelia_alata","Melaleuca_teretifolia","Podolepis_lessonii","Podotheca_angustifolium","Sedge_B","Sonchus_sp_","Villarsia_capitata","Viminaria_juncea"
"Baumea_articulata",0.203966751832661,0.060845273152371,0.119555608394749,0.148621228140341,0.348521104821105,0.111511452565002,0.316009950740579,0.347053223968211,0.200245421902648,0.155144202365657,0.107475536714694,0.0783962454722707,0.0855404465431051,0.151261738004406,0.0500493661702627,0.184622819940723,0.215610214207288,0.134014817660711,0.06080631486245,0.142479872426046,0.189086609641094,0.160140994213489,0.318827604711761,0.115255690622291,0.288386967264839,0.153413684595009,0.133338327527053,0.329892364932567,0.0696286379020772,0.170737823200885,0.148172692254344,0.237439463404285,0.198568829346361,0.044112710618556,1,0.145755228860618,0.166591677760919,0.234763004872627,0.111028451083917,0.142029450010863,0.14355335806148,0.17527237626803,0.152119400721936,0.295103036707947,0.313569100878522,0.416755109678613,0.442416058145555,0.0561869264084641,0.0770907100406563,0.145242617012442,0.330542936615805,0.179988803351245
"Centella_cordifolia",0.480655569972453,0.120556300934728,0.0359243785294147,0.0765954462871867,0.561963370163525,0.101755656547845,0.0422546216436005,0.572869653552964,0.0590659803279711,0.211545019680206,0.246814733244129,0.262388786531939,0.221406973396607,0.44350474495285,0.144759321151882,0.531452076544932,0.0420394381288359,0.183372038574468,0.0470042176157445,0.0934017820987639,0.0242941394878908,0.295332341783719,0.323925048616954,0.261482244955057,0.0334165886660523,0.293607036680487,0.0556319437226099,0.0458849266520519,0.156437938884773,0.0706939364395468,0.0267619602911861,0.583156704267287,0.257124426438101,0.0387716067951946,0.145755228860618,1,0.0889082467172341,0.407086584219305,0.0294862258277784,0.0276235109209246,0.234480060411437,0.122994523601732,0.328106735442572,0.513532821261639,0.589669067406499,0.349148756957648,0.509468521580911,0.144717214646076,0.246895726142625,0.110266386880418,0.606672547477016,0.255162205454894
"Cotula_coronopifolia",0.15435683792169,0.0409780278666811,0.0797366117062456,0.0841638407707947,0.207669523335078,0.0682947508787897,0.162675693545075,0.229029162417645,0.12296235269668,0.0932571789837881,0.0661916585680132,0.0688978067120997,0.0573443328437672,0.120740667340565,0.037770820441644,0.127610569979535,0.0957703824369145,0.0809184403612225,0.0424971490556922,0.0710066224291464,0.0801650944793713,0.0800616252182909,0.135122417160867,0.0756643775842116,0.159997503921385,0.0850623570563808,0.0774473535139077,0.158008106360541,0.0520244706308339,0.0848550963763911,0.0918686537774825,0.176328901556366,0.0899454550066741,0.0329533553695824,0.166591677760919,0.0889082467172341,1,0.154159564239591,0.069593033947615,0.0942148741039038,0.0886486515779722,0.103290534935468,0.0950067815698228,0.190531850124449,0.215668236933634,0.21614614661605,0.28503143845647,0.0472925686956992,0.0582631210137771,0.0976611831502222,0.202448702761092,0.0971579613850064
"Epilobium_billardierianum",0.873862153003073,0.413264591728015,0.0705166122177217,0.139039102976641,0.763638683307991,0.318571703376607,-0.0017230571131018,0.832812526327106,0.157513744250097,0.593770669597772,0.63144261589282,0.679117617324755,0.611044730336607,0.734714978119655,0.356420012302632,0.88286086923465,0.11527133945512,0.404941381363334,0.149632399548717,0.260109785759139,0.0161871529473979,0.712328138157147,0.611009514456738,0.678974612576278,-0.000992672068984118,0.684544125839535,0.182266865842499,0.00155721873632904,0.503563534975974,0.142658595320082,0.0523574214903012,0.913723460334162,0.58961018974775,0.141241475174025,0.234763004872627,0.407086584219305,0.154159564239591,1,0.0892878459797523,0.0747828706140207,0.691886497861578,0.356374469196272,0.780996424938647,0.832257398193175,0.884634591514315,0.598621740335463,0.72337630999728,0.433611068090162,0.644003465996402,0.333328850791953,0.898152032714461,0.56618538371644
"Eucalyptus_rudis",0.0559369900798018,0.371568722528378,0.396941826689886,0.143625818555331,-0.0513860235340195,0.446280350129657,0.444347098339626,-0.0269095529080992,0.556739752646988,0.469768455676125,0.330328201589791,0.270674885099301,0.383465328624852,0.13045189609067,0.180192158123043,0.223364594549923,0.463678975080508,0.0183231795560194,0.341776419102144,0.0542162312676893,0.292706199209409,0.0874029850408345,0.144251956743362,0.335042769245595,0.516745910067426,0.440147745308042,0.390719651141713,0.42116572875302,0.372593687398105,0.154029484577976,0.314156238514081,0.0707828105691528,0.23689311455895,0.27462865790554,0.111028451083917,0.0294862258277784,0.069593033947615,0.0892878459797523,1,0.374204986866917,0.100750582621636,0.542120476224298,0.27397174296094,0.100182569246484,0.0830057323727373,-0.0185392143867228,-0.0707249581579693,0.203595977344552,0.176722167268746,0.503233312663458,0.0118749827613817,0.0174814949706971
"Exocarpus_sparteus",0.0168129710152898,0.427298398977391,0.450309610687301,0.19972202254377,-0.114695256092858,0.546419413711763,0.55242238962912,-0.0650716519159444,0.664828034710465,0.564026520849972,0.367282295832287,0.275061581451307,0.440288721112219,0.104283260581342,0.225224950944904,0.21751797127068,0.551088201268985,0.0171779506804339,0.436343987558451,0.064770099595176,0.339838039593811,0.064089964188803,0.157951974266567,0.387989725779573,0.627781923538676,0.513151271214755,0.495259506380048,0.532326249842818,0.46334936802036,0.213742825771465,0.39364403443228,0.0223067664969132,0.262928345882538,0.346258739581178,0.142029450010863,0.0276235109209246,0.0942148741039038,0.0747828706140207,0.374204986866917,1,0.105477265481388,0.648766594757698,0.313205158742189,0.0677289780187771,0.0149684710273144,-0.0303653384992386,-0.158018846351109,0.241228136638436,0.183560635618418,0.600118801548585,-0.0564733599225172,0.00393286491372823
"Isolepis_cernua",0.70674871147362,0.33439870889856,0.130319784683078,0.070001101751406,0.562088059466518,0.281775083044964,0.0640725468440674,0.633129289563889,0.226023200492161,0.554349097737847,0.561499972766753,0.547914356498749,0.454351083313399,0.648072021687924,0.266729303927311,0.815283877718365,0.158243297537431,0.236161374620043,0.13710268083429,0.172900023087793,0.039805514391673,0.416485627257579,0.425530282149697,0.578759599475321,0.114180910571689,0.620544326435302,0.203184311851954,0.0655145038107179,0.316449400235323,0.0754003199423541,0.0732469277086138,0.800327700967965,0.434534594579277,0.127545613784286,0.14355335806148,0.234480060411437,0.0886486515779722,0.691886497861578,0.100750582621636,0.105477265481388,1,0.376973445497559,0.691754214817225,0.685385842997079,0.72069039888206,0.328786310880989,0.498648597465776,0.323995657412978,0.462685964690314,0.335201621714375,0.749518394039156,0.376140084034184
"Jacksonia_furcellata",0.287216569096724,0.801922699631186,0.754701310131275,0.285271821865869,-0.0918943826201102,0.859222664780348,0.68625143337494,0.0523694152089771,0.904152562874487,0.874349681848217,0.737096941865023,0.651187841274815,0.82617832629255,0.387423498768843,0.476791490332811,0.56338683222385,0.835712900830304,0.0941246509141016,0.742188278240849,0.127230671238403,0.409684639726879,0.281996154476145,0.390750595325947,0.784695421387029,0.800057629879997,0.884484695084936,0.725070470362177,0.596839454747691,0.817830699674532,0.220524160527222,0.524320781703395,0.284336644342154,0.618278124895485,0.598558892626488,0.17527237626803,0.122994523601732,0.103290534935468,0.356374469196272,0.542120476224298,0.648766594757698,0.376973445497559,1,0.712800932606746,0.385445891745154,0.309234225496957,-0.0707795410325862,-0.303621042528134,0.524280650523228,0.52232903830026,0.912929483668915,0.182176405424182,0.113615348080024
"Juncus_sp_",0.830701585576697,0.639490891907353,0.375404229715174,0.131698748012529,0.635880509882625,0.614532868162395,0.220392936708566,0.744263961956214,0.595289669915692,0.807057095632314,0.788848229148581,0.754872233320689,0.763749725045262,0.742844013767319,0.428718187418487,0.902742178730403,0.377166087785122,0.332063333861793,0.337826876505782,0.195519248455136,0.0867956950416461,0.655689584435706,0.63592081390809,0.820666400056459,0.333074421969179,0.877053668981755,0.47900049125949,0.166646210519709,0.696065357144347,0.0998047044874288,0.226405355078758,0.887838967345432,0.688713818930995,0.327256427658857,0.152119400721936,0.328106735442572,0.0950067815698228,0.780996424938647,0.27397174296094,0.313205158742189,0.691754214817225,0.712800932606746,1,0.813118060273446,0.855042450245811,0.33113960466703,0.536332408489826,0.547371402050038,0.728930464762333,0.683492375286545,0.834878668652024,0.490848473832937
"Lepyrodia_muirii",0.874854215751928,0.502842392835678,0.100765633431682,0.170588994106983,0.821906563299317,0.307827948951058,-0.0192919841599453,0.882796274626392,0.154448137641241,0.60482617460442,0.643992439165252,0.708891549821998,0.617197381815535,0.761260568342775,0.37225456583462,0.892579028596136,0.132286087515066,0.467857930582767,0.160274051995827,0.293649830626202,0.0260091985619367,0.716893143162058,0.671291348541494,0.697518111151031,-0.0216888946863649,0.706908261179738,0.199249781308993,-0.0075131065005504,0.507939586230744,0.172988739756364,0.0580749033697304,0.934701234585923,0.742837353557016,0.153613412101304,0.295103036707947,0.513532821261639,0.190531850124449,0.832257398193175,0.100182569246484,0.0677289780187771,0.685385842997079,0.385445891745154,0.813118060273446,1,0.913310962338533,0.694847049779221,0.80868600659868,0.473692110664752,0.661229648604372,0.344001096674973,0.918890074975313,0.638538174030089
