"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-1.91789513395814","-5.7256270021357","1.49245063226828","1.83990961225617","-0.959337963624203","-0.681382423619388","-1.70512093136106","-0.541266194109675","boral","X_Aira_sp_"
"2","meanGW","0.577796352590999","-0.500647238564435","1.63745505063931","NaN","NaN","NaN","NaN","NaN","boral","X_Aira_sp_"
"3","intercept","-0.183321809724305","-3.39930444969878","2.71736494510857","1.58219835345896","-8.63071532971668","-6.67570249275805","-8.96951907557115","-4.83665747585148","boral","X_Briza_maxima"
"4","meanGW","0.630168569050597","-0.437747770390746","1.59667322623027","NaN","NaN","NaN","NaN","NaN","boral","X_Briza_maxima"
"5","intercept","-1.30270387647017","-4.86122370757031","2.23303148487126","1.76473983724734","-1.35467458807992","-0.869816239953862","-2.69929083998127","-0.763375766988061","boral","X_Briza_minor"
"6","meanGW","0.660431321823659","-0.401349197459783","1.73784090902409","NaN","NaN","NaN","NaN","NaN","boral","X_Briza_minor"
"7","intercept","-2.04425179788259","-5.82967087011531","1.49706358742524","1.81053777872835","-0.885672587204606","-0.588182165371227","-1.69106821354726","-0.49587312477744","boral","X_Carpobrotus_edulis"
"8","meanGW","0.643940705057225","-0.352084359156048","1.74341782965969","NaN","NaN","NaN","NaN","NaN","boral","X_Carpobrotus_edulis"
"9","intercept","-2.09207126577669","-6.09988057039671","1.3404847865624","1.85437935088279","-0.886384408226336","-0.605352889974929","-1.56330040511254","-0.496455117256008","boral","X_Disa_bracteata"
"10","meanGW","0.619919460840318","-0.448939386450086","1.63206583664164","NaN","NaN","NaN","NaN","NaN","boral","X_Disa_bracteata"
"11","intercept","-1.60988130784897","-5.16252629002403","1.91483755902152","1.77255547440282","-1.10104730439488","-0.76388819709062","-2.17920017441477","-0.618557626775669","boral","X_Gladiolus_caryophyllaceus"
"12","meanGW","0.603768184793806","-0.380851639198477","1.56361202940536","NaN","NaN","NaN","NaN","NaN","boral","X_Gladiolus_caryophyllaceus"
"13","intercept","1.646986512426","-1.50412335428249","4.16855747646025","1.41268085480476","0.857736747779365","0.575297796380571","2.12903775084001","0.482848909414225","boral","X_Hypochaeris_glabra"
"14","meanGW","0.535312373951674","-0.434442019375626","1.40647157048268","NaN","NaN","NaN","NaN","NaN","boral","X_Hypochaeris_glabra"
"15","intercept","-1.93089822035128","-5.5147781750847","1.51308968380947","1.79598315723818","-0.930128340431866","-0.644398700513585","-1.7562256218136","-0.524832124227555","boral","X_Sonchus_oleraceus"
"16","meanGW","0.64807116971076","-0.280818941921137","1.63854246236839","NaN","NaN","NaN","NaN","NaN","boral","X_Sonchus_oleraceus"
"17","intercept","-1.85131432041299","-5.71259766405009","1.60304997008784","1.9195858120413","-1.03687730974451","-0.693618202468327","-1.78015883472677","-0.580174665902003","boral","X_Unknown_Bromus_grass"
"18","meanGW","0.643705849141921","-0.372933785266253","1.58123653338753","NaN","NaN","NaN","NaN","NaN","boral","X_Unknown_Bromus_grass"
"19","intercept","1.08448321723122","-1.66855137830635","3.89116649953729","1.39777145367666","1.28888251239637","0.844871555482296","2.50143078067629","0.725761015135203","boral","X_Ursinia_anthemoides"
"20","meanGW","0.520817451124758","-0.32979549358354","1.43186633908321","NaN","NaN","NaN","NaN","NaN","boral","X_Ursinia_anthemoides"
"21","intercept","-1.91177633548302","-3.94865793902965","0.134702234943243","0.997094036482621","-0.52155370791882","-0.328774003567124","-1.07063649679985","-0.291603819091126","boral","Acacia_pulchella"
"22","meanGW","0.0368246501616994","-0.512231693078228","0.658041817532483","NaN","NaN","NaN","NaN","NaN","boral","Acacia_pulchella"
