"","X_Arctotheca_calendula","X_Acacia_longifolia","X_Avena_barbata","X_Briza_maxima","X_Briza_minor","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Catapodium_rigidum","X_Cirsium_vulgare","X_Commelina_sp_","X_Conyza_bonariensis","X_Conyza_parva","X_Crassula_alata","X_Cynodon_dactylon","X_Dischisma_arenarium","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia_peplus","X_Fumaria_capreolata","X_Galium_murale","X_Geranium_molle","X_Heliophila_pusilla","X_Hordeum_leporinum","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lysimachia_arvensis","X_Moraea_flaccida","X_Paspalum_distichum","X_Pelargonium_capitatum","X_Pennisetum_clandestinum","X_Pentaschistis_airoides","X_Petrorhagia_dubia","X_Poa_annua","X_Poaceae_sp","X_Polypogon_monspeliensis","X_Romulea_rosea","X_Rumex_sp","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Stachys_arvensis","X_Trifolium_campestre","X_Urospermum_picroides","X_Ursinia_anthemoides","X_Verbascum_virgatum","X_Vulpia_sp","Acacia_saligna","Anthocercis_ilicifolia","Austrostipa_compressa","Baumea_articulata","Baumea_juncea","Caladenia_latifolia","Carex_fascicularis","Cassytha_racemosa","Centella_asiatica","Cyperaceae_sp_","Daucus_glochidiatus","Dischisma_arenarium","Eucalyptus_rudis","Gahnia_sp_","Geranium_solanderi","Hardenbergia_comptoniana","Hibbertia_cuneiformis","Hydrocotyle_sp_","Isolepis_cernua","Juncus_subsecundus","Lepidosperma_gladiatum","Lepidosperma_longitudinale","Lobelia_alata","Lobelia_tenuior","Melaleuca_rhaphiophylla","Microtis_media","Myoporum_caprarioides","Persicaria_decipiens","Podotheca_gnaphalioides","Pteridium_esculentum","Rhadinothamnus_anceps","Scaevola_crassifolia","Schoenoplectus_validus","Sonchus_hydrophillus","Sowerbaea_laxiflora","Spyridium_globulosum","Tetraria_octandra","Thysanotus_multiflorus","Trachymene_pilosa","Tricoryne_elatior","Triglochin_centrocarpa","Unknown_climber","Viminaria_juncea"
"X_Arctotheca_calendula",1,0.0358046667434547,0.0366236992931129,0.108499718917607,0.00327028245595262,0.0744488270287241,-0.0228544489147672,0.0278104332470678,0.0808186211274554,-0.0287116667643155,-0.0104945639505123,0.00541313027299233,-0.019483563933363,0.0287001071832406,-0.0392316312016126,0.0106621094426869,0.0301316024194104,0.0399924783318556,-0.0225767308721529,0.000280395717674881,0.025314557415084,-0.00988889347596154,0.0262053412762705,-0.002611193959529,0.01561919941816,-0.00729371195910491,0.0735278534381939,-0.03218546394027,-0.0630643679990931,0.0126393834510446,-0.0434102055434348,0.0412917459896473,0.00341335651523957,0.0401222677825281,0.00542974862226782,-0.00273952433407682,0.0209431384889916,-0.00763769622238063,0.0244003803559472,-0.00927054312225404,-0.00657269393233769,0.0522331014659914,0.0462288828858618,0.0168250234543281,0.00015184711736827,0.0243350484358412,-0.072335298668226,-0.00844193958507765,0.104928323394148,0.0162585774016808,-0.0424098716484991,0.0255647820309112,-0.120212882827217,-0.110614734823388,-0.109158649290797,-0.0242237142233207,0.107579256809013,-0.0388644360050221,0.0252397073914554,0.00757686731719447,0.0276155051219661,-0.0607967815423477,0.105672450450207,-0.00798884109564133,-0.0255508477493592,-0.0138638592837108,-0.0479679983098203,-0.0916380154621807,-0.0226251384748412,0.0608086471356473,0.00548030026867852,0.101608622367881,-0.0837450810313038,-0.0352295898989581,0.0338081800064894,-0.0964712939226793,-0.117569216924638,-0.026165698050262,-0.0471214122929157,0.00943879480560215,0.0307464237296857,-0.0134021981614216,-0.019846335869121,0.0585259833524607,-0.0082157305370174,0.0261230828761366,-0.0821435820113597,0.00281149963489869,-0.0823599644878935
"X_Acacia_longifolia",0.0358046667434547,1,0.0504717038723527,0.22518781559366,0.0219170766783621,0.153583797393629,-0.0742546101017962,0.0648449842679385,0.165895894185529,-0.0549750898714809,-0.0351865514714642,0.001389191441187,0.00122304556286444,0.0528440216415068,-0.0321215472013261,0.0236695407773051,0.0714426492041919,0.105298875640795,-0.00258209142652775,0.0412816007273791,0.091033530712248,-0.00352712651676898,0.0801129952726256,0.00498093799300876,0.0423834817432561,0.0324982006773875,0.181176485052987,-0.111282024286085,-0.0922888038404935,0.0168690630978877,-0.0832453568943392,0.103614402993952,0.0127865854181792,0.102202470500817,0.0236462839644049,0.0104983424715308,0.0469254434277307,-0.0463391674932132,0.048392412012946,-0.0472263994972127,-0.0077696187511714,0.120134640643367,0.0975407535724499,0.044159013029889,0.017928626999288,0.0555335656566575,-0.129012491563829,-0.00577604223783754,0.230293140893537,0.00751766900475772,-0.072042852098316,0.0943722453563071,-0.243949815626595,-0.235963129878328,-0.210307230623869,-0.048241667556398,0.242958650393859,-0.0322905639757814,0.0259333786911007,-0.0013113949993807,0.0616881777829402,-0.156318392747187,0.225493907922613,-0.00400630213088578,-0.0194961739151953,-0.0355722703672121,-0.101416878329214,-0.180095109258129,-0.0347668834040079,0.140240529090338,-0.0143903837672595,0.20423752754793,-0.192005245075661,-0.101176126715594,0.107730531039713,-0.212643685020776,-0.229845862069928,-0.031507776321716,-0.0946042181559636,0.00187294713671093,0.105273114336029,-0.047489130663595,-0.0409439003223367,0.141083958590012,0.0178418918021439,0.0850439370598643,-0.200592604426932,-0.0204275434249454,-0.200284212108617
"X_Avena_barbata",0.0366236992931129,0.0504717038723527,1,0.233041557177779,-0.149903514218838,0.0940571658552623,0.206440740144043,-0.01160492114702,0.290179511313901,-0.164449833458405,0.120562571630034,0.136673637735818,-0.579815113956324,0.115759704322261,-0.62249598178958,-0.0464734310410487,-0.109537256384576,-0.11629947130187,-0.600957292293357,-0.497654079907649,-0.382404107678959,-0.193128191292285,-0.279516213868349,-0.105071301864321,-0.101327753740739,-0.556013713272469,-0.273723363289346,0.314677476504036,-0.561599784110887,0.155437257640799,-0.14486649705467,-0.1696170630538,-0.0594265520491525,-0.0722522417012574,-0.119166550228889,-0.221242161906122,0.0906134592030928,0.250786942820843,0.0106296136411706,0.154108596963621,-0.065990232035987,-0.104641847983484,0.126151341797717,-0.122076613530918,-0.205119652255505,-0.00380760763969522,-0.428991362766717,-0.179967114975612,0.103883180323597,0.259748938621464,-0.32093144050882,-0.490938145014642,-0.388982319323608,-0.21168618437118,-0.518924942781996,-0.101943700750994,0.0683048827009944,-0.622546240339031,0.364145734065448,0.192063528931635,-0.00979574740586683,0.212666516555638,0.24095011931473,-0.157898492527812,-0.523524507046625,0.0524883773346533,-0.0763889688948638,-0.348953673090479,-0.157244795488074,0.0240760266993793,0.28663515868637,0.372673696148204,-0.100881354484857,0.177653610416836,-0.370719785721569,-0.0797982796671675,-0.453106537979205,-0.322064305461988,-0.177976807844238,0.1874638583059,-0.492428234733586,0.232312907021458,-0.0299485430080061,-0.110685270122959,-0.475236814343649,-0.275896190218002,0.0905058648801591,0.341023020941605,0.058561327193619
"X_Briza_maxima",0.108499718917607,0.22518781559366,0.233041557177779,1,0.0336665942129578,0.463802982807737,-0.147494448165403,0.180042190681283,0.514199026366042,-0.173298368992498,-0.0663625392647657,0.0276237974003829,-0.0988612343676292,0.173761771439036,-0.211262102066107,0.0652974344995488,0.194072534711914,0.276895564242411,-0.116103781939806,0.0218237506009832,0.18508611091795,-0.0493714134702818,0.18324321388472,-0.00946723587492453,0.0962755037347316,-0.00943309396483874,0.469549400077361,-0.239132215678246,-0.371926507122313,0.0785330975854344,-0.263161895691627,0.269066673004583,0.0221601645362638,0.279302220936527,0.0442038630917103,-0.00979031483115403,0.143860090527082,-0.054816631629395,0.154972791654933,-0.0709453996101462,-0.0329001250372344,0.331386989719829,0.299930127567317,0.118179949222644,0.0125207215330356,0.158675604848713,-0.446501851557217,-0.0491955282975886,0.665350198122793,0.0903213357165237,-0.25520461233355,0.176482365236236,-0.74885882256808,-0.698788851954677,-0.681985286069804,-0.151705993983495,0.69195939459225,-0.207606885486418,0.143833809466142,0.0328726609774457,0.176172428390023,-0.399807983277679,0.666561569999442,-0.0366569023484279,-0.143941645573396,-0.0886717685012099,-0.29903678875512,-0.568331342364392,-0.133865975259187,0.393231008870257,0.0156267738671781,0.627612372521577,-0.539710142392999,-0.233927231517286,0.237715018944483,-0.609796108761021,-0.730780200673635,-0.136350858043331,-0.28596525517302,0.0422876726111489,0.208909714605837,-0.0974136116473624,-0.1240153490267,0.373981566158507,-0.0337807072162055,0.191227720375912,-0.534184039003962,0.0100633791446156,-0.53965568553441
"X_Briza_minor",0.00327028245595262,0.0219170766783621,-0.149903514218838,0.0336665942129578,1,0.051772711508965,-0.110523479744813,0.0418596837841067,-0.0208459813540749,0.0355582513407568,-0.0626331545663498,-0.0492322717677842,0.232597589019726,-0.0158618346630937,0.227502592483443,0.031007505490616,0.0901050873657412,0.105191360708946,0.235766460246913,0.220791434704343,0.199264841201116,0.0748021691599072,0.155375258489696,0.0436045732022617,0.0653919295777609,0.239361259246659,0.203702973573688,-0.176098695322833,0.168017934234086,-0.0523947606210654,0.0136613363014726,0.128320468691396,0.0300423959250095,0.0915399264482513,0.0623361547753745,0.0973682552282891,-0.00959823255067821,-0.1147715615665,0.0265147661557072,-0.0777636868188088,0.0227088162646243,0.110879516101093,0.00634260678836031,0.0786292578819634,0.0943677354408631,0.0346299253359207,0.0963467777644773,0.0690049298316222,0.0864227314586297,-0.0935477395518369,0.0830266836045966,0.240859438481667,0.0234760663692428,-0.0400813891812715,0.0918973268367803,0.0123650409878294,0.108419856397974,0.229684400548475,-0.124641827365621,-0.0766987396880517,0.0373448703168914,-0.163943734796051,0.0274400297266859,0.061692443492619,0.192774882048879,-0.0392175466887861,-0.0254906371900279,0.0397842883528297,0.0455954113825233,0.0692227573282379,-0.117722249516925,-0.0296048687847192,-0.0597019202740874,-0.117031244085572,0.206680219734139,-0.0795839658538177,0.0542337985546204,0.110626084587693,0.0191894411547466,-0.0692206534338005,0.250362262603304,-0.114531556911912,-0.0052225509921181,0.12542400830419,0.19599476382825,0.16377360707437,-0.141671177103788,-0.136320673168149,-0.12435928294991
"X_Bromus_diandrus",0.0744488270287241,0.153583797393629,0.0940571658552623,0.463802982807737,0.051772711508965,1,-0.140340554746104,0.135203122673942,0.329408385157313,-0.0958071027113728,-0.0667419631208284,-0.00238862422023188,0.0322048982543483,0.10678041611279,-0.0455713081126904,0.0562026758857911,0.166501648498828,0.224383059064357,0.0201578720356455,0.101516219191978,0.201037463433576,5.15237366328908e-05,0.183105563552125,0.0114636725388865,0.0906020872453588,0.0918223141477506,0.388883229188654,-0.2311104531572,-0.178976619927189,0.034894297226317,-0.166925835441097,0.22838929519985,0.0267150915998271,0.214939149639159,0.0538445006270178,0.0313445370655413,0.0921551561632374,-0.0780975928806716,0.115203793875839,-0.0736801415016379,-0.0117039659814408,0.265360448411054,0.20032787698845,0.106289917412504,0.044608321229034,0.116754793598807,-0.257436836639103,-0.00544792977674456,0.468131002431226,0.0240704702685726,-0.134810891952824,0.21367670012251,-0.47871187770599,-0.472557357436142,-0.407192817083649,-0.0931722910348763,0.49646167154414,-0.0413960248086809,0.0441893716267767,-0.0107219750017628,0.130140095049733,-0.326374872776784,0.444280803208879,-0.000188967341911426,-0.0145291988623176,-0.0743104057580495,-0.206579855876261,-0.35614949218429,-0.0714260281086022,0.286898756220418,-0.0350646780121182,0.402094825305283,-0.375462036434189,-0.200441863274929,0.242780314246343,-0.42819717438568,-0.456499419417776,-0.0446709811451029,-0.181659635292031,0.00238178069868752,0.238099841019785,-0.108318941835519,-0.0842580462999799,0.294383036463608,0.0557066082753418,0.188665166225115,-0.402148023869729,-0.0440898971585007,-0.400725442190751
"X_Carpobrotus_edulis",-0.0228544489147672,-0.0742546101017962,0.206440740144043,-0.147494448165403,-0.110523479744813,-0.140340554746104,1,-0.0950023695118392,-0.0492004488906244,-0.0321221067946853,0.121216230415073,0.0794109321465718,-0.332626926391985,0.0019831042855891,-0.312681060303259,-0.049796090091214,-0.165916522505053,-0.201213241487966,-0.337425285715491,-0.329800494085916,-0.334699628317443,-0.104334375855949,-0.268316673229917,-0.0665366536962796,-0.112338222080916,-0.363055106828313,-0.386751363232462,0.327458376126125,-0.204114069780623,0.0672679201918437,0.0268015324995933,-0.23672511352383,-0.0514263189290047,-0.17327440299453,-0.0962697008753402,-0.141770066599929,-0.00668506247571348,0.206660646056256,-0.0540020808840859,0.161034012068049,-0.0265963526982478,-0.213489149993012,-0.0579602809896168,-0.136508858405258,-0.141597313897183,-0.0755360575078247,-0.0820775743177532,-0.0980377632318977,-0.23170814199685,0.140510188382583,-0.0902001991559133,-0.398073679835501,0.0858789773445262,0.178129355713414,-0.0293506609507478,0.00299603045392838,-0.27203315079681,-0.314613186058445,0.172598171100269,0.11500340788282,-0.0858720448067985,0.31771637636859,-0.152398178190069,-0.0893414571797269,-0.277165563003138,0.0814762525877107,0.0887490420057156,0.0273720012606843,-0.0420858502504946,-0.171839509713922,0.180728557471577,-0.0513333414869549,0.191649637780158,0.236867393925193,-0.344659241684816,0.226505042097225,0.0381734865142477,-0.147158304662193,0.0155288040805664,0.110016137743136,-0.413847723830332,0.187065539526133,0.0355131676237205,-0.246418666200006,-0.285415391037355,-0.278983989402361,0.309150644841549,0.220651653043584,0.289674203740941
"X_Catapodium_rigidum",0.0278104332470678,0.0648449842679385,-0.01160492114702,0.180042190681283,0.0418596837841067,0.135203122673942,-0.0950023695118392,1,0.119387733999139,-0.025219266526846,-0.0486181043186729,-0.0177738885609675,0.0837831579837039,0.0342209400611626,0.0528188977172729,0.0279267010627598,0.0831240922037146,0.115261243423242,0.0769450896908989,0.106680086977392,0.134881416669649,0.0197462705784213,0.119518595971823,0.0182629439323864,0.0524650635476268,0.106788077513527,0.208326860653373,-0.144024161606019,-0.0163525136994586,-0.00378911814103876,-0.0614215564376298,0.126924588557801,0.0197956712296621,0.108512842284355,0.0369448279946764,0.0409014131266935,0.0302903125706521,-0.0739559515241867,0.050743801648563,-0.0583933890577832,0.000855264143096169,0.130019706520953,0.0750961700163316,0.0644060136682419,0.0454552767999675,0.0551896721172608,-0.0664102624536288,0.0226999961408375,0.200110984775568,-0.0221543408858852,-0.0271993279453975,0.157947507163357,-0.171394187541696,-0.191379915396043,-0.126012905774422,-0.0305250581464332,0.220515457519561,0.0546931470514893,-0.0217485298713649,-0.0287838249543193,0.06226772205529,-0.173108344019803,0.178470211298438,0.0186784503708608,0.0543623877219212,-0.0394654474916898,-0.0863521457861344,-0.119839429609815,-0.0123912299636516,0.127214227192877,-0.0507677184930338,0.141264424968939,-0.162886644397214,-0.115370761622637,0.149405152305642,-0.187103961605248,-0.154687401996397,0.020133975946842,-0.0637982761443334,-0.0214515230941679,0.165781070773182,-0.0742624094494473,-0.0342509620821029,0.150817804893287,0.0791147777972795,0.123343020374601,-0.196931379812123,-0.0586110071387804,-0.191131135236699
"X_Cirsium_vulgare",0.0808186211274554,0.165895894185529,0.290179511313901,0.514199026366042,-0.0208459813540749,0.329408385157313,-0.0492004488906244,0.119387733999139,1,-0.157209437127717,-0.0136672646063539,0.0598915962850677,-0.237438144429787,0.148095227257104,-0.325136549471248,0.0254240400973176,0.0906425961678585,0.145587936837565,-0.254444285466069,-0.135774760657204,0.0125406154519035,-0.0843611878470117,0.0415631415387796,-0.0354518624628992,0.0361484109014818,-0.171456975824056,0.226423775046917,-0.0784278199232441,-0.409353305085013,0.0979882001441657,-0.217009770146209,0.123114719168709,-0.00115265381005139,0.161151780951016,-0.00460556334999421,-0.0735347010663884,0.122035216342308,0.0271434311156279,0.0944350054107481,-0.0154952908565118,-0.0408100605213724,0.180232911944954,0.232063657159094,0.0391126566135508,-0.0497583734315829,0.100719143154374,-0.420479700136262,-0.0851109232471522,0.463181280588649,0.143666438312182,-0.26368799193303,-0.0241818373621564,-0.612114120104236,-0.527124395301857,-0.603317025518036,-0.12793659920185,0.47202593083364,-0.320301848355139,0.20360903059372,0.0740969008825468,0.111351418482327,-0.203683732487814,0.51551544249782,-0.065852425015168,-0.25230556561462,-0.0454752687719368,-0.220635622376356,-0.477084051411008,-0.133582707415984,0.271996942469832,0.0957878831393759,0.523089619062735,-0.395567162829998,-0.108348157117724,0.0440567760876513,-0.430835747796681,-0.617930058817155,-0.187241754205633,-0.243044059674937,0.0797163437243833,-0.0052159918728516,0.00849696952939679,-0.0944602364008574,0.21213210209345,-0.164108203011404,0.0434511266756356,-0.334735970155013,0.101664866355718,-0.345833101736645
"X_Commelina_sp_",-0.0287116667643155,-0.0549750898714809,-0.164449833458405,-0.173298368992498,0.0355582513407568,-0.0958071027113728,-0.0321221067946853,-0.025219266526846,-0.157209437127717,1,-0.020497178836308,-0.0405212555232939,0.172720395653335,-0.059761307913768,0.20229624199013,0.00179288374343711,0.00357682386969304,-0.00923342978685009,0.18031814437226,0.131435934780956,0.0699222220855455,0.0635602448008492,0.0442295110481397,0.0300512684921656,0.0100396815152799,0.154728322774545,-0.00281372394771063,-0.0467310909856033,0.212749606297995,-0.0547804341974786,0.080157820661882,0.00403381465557655,0.0137887375246992,-0.0256558109307154,0.0270696109699505,0.0624735145389506,-0.0497112969613909,-0.0555052151817494,-0.0266377819166552,-0.0260856488324086,0.0263302676210556,-0.0275526430611744,-0.0813845555425468,0.0156352719971836,0.0537596905191538,-0.0243329069297112,0.18827279250435,0.0565500477167724,-0.137869365968909,-0.0774335652095198,0.12746381641093,0.098714217503533,0.230723099290449,0.172127470381001,0.249527565380954,0.0623223956737839,-0.129722946258191,0.203066617234764,-0.11957281990482,-0.056260647157908,-0.0279970178210169,0.00934980935843798,-0.170219230224131,0.0554527737005953,0.165330042583942,0.000113684073632893,0.0680644014868248,0.188226304226157,0.0620547040692005,-0.0713057686309043,-0.0783402959518303,-0.200994533130741,0.117188240387323,-0.00746778776689676,0.0598105980629787,0.125654488411575,0.239554011357844,0.107264524205331,0.0926471333938799,-0.0562215042886747,0.0964997182206938,-0.0444210682634155,0.0300729942421991,-0.0314528488779098,0.131651398242648,0.040738286061938,0.0694760158425599,-0.0872134803213949,0.0745899372488172
