"","X_Aira_caryophyllea","X_Briza_maxima","X_Ehrharta_calycina","X_Hypochaeris_glabra","X_Poa_annua","X_Sonchus_oleraceus","X_Ursinia_anthemoides","Adenanthos_cygnorum","Aotus_gracillima","Astartea_scoparia","Austrostipa_compressa","Banksia_attenuata","Banksia_ilicifolia","Banksia_menziesii","Baumea_articulata","Beaufortia_elegans","Caladenia_flava","Comesperma_virgatum","Dasypogon_bromeliifolius","Dielsia_stenostachya","Dryandra_sp_","Hibbertia_sp_","Hibbertia_subvaginata","Hypolaena_exsulca","Isolepis_cernua","Kunzea_glabrescens","Melaleuca_preissiana","Microtis_sp_","Patersonia_occidentalis","Podotheca_gnaphalioides","Pteridium_esculentum","Pterostylis_sp_","Pultenaea_reticulata","Regelia_inops","Restionaceae_sp_","Rhodanthe_chlorocephala_subsp__rosea","Schoenus_sp_","Stylidium_repens","Thysanotus_manglesianus","Trachymene_pilosa","Xanthorrhoea_preissii"
"Banksia_ilicifolia",-0.0548566926030854,-0.0163641488071719,0.0937900529451895,-0.0572136502217894,-0.0305716958699742,0.0196138008255115,0.198230059014563,0.248965118315471,-0.0283411649884196,-0.174640112510256,0.138926654478229,0.064018642542601,1,0.278733435901068,-0.102455896961708,0.144828831083456,-0.0044031115832127,0.0679030881979893,0.154126127812009,0.00658748081773165,0.0464700901906651,0.222987940690797,0.140231038107021,-0.00364516811789513,0.173723661245074,-0.0848464722388137,-0.178496524448985,0.0493539639857059,0.0414042311481789,0.132938162590806,-0.142484085260537,0.0881976185668808,0.177028806024897,0.0523700387998893,-0.038231990737511,-0.0207811176951863,0.00868392719056485,0.0114514611049712,0.0295690921403656,-0.0278483281282681,0.035483899798986
"Banksia_menziesii",-0.141648045755814,0.0195477756072191,0.123990054881144,-0.30893171123633,-0.046727119185142,-0.0266273628007116,0.295179742808302,0.606686177354134,-0.245383303930909,-0.378397655364839,0.228955606630995,0.284897492537972,0.278733435901068,1,-0.258438100230728,0.177144940650004,-0.0416243670465105,0.134498304654845,0.463338488501949,0.0486189007469679,0.126154416681507,0.536716192355102,0.241293394887666,0.0185673799222935,0.265115232764771,-0.237161305212857,-0.455366063173085,0.0105527359729086,0.12832763016578,0.133726941977772,-0.315695112268968,0.148747379836728,0.271941024025971,0.227285173074206,0.0497022431694037,-0.0276409116628494,-0.010156041235271,0.147049477505827,0.0686280016230494,-0.205114366860783,0.120642517218024
"Baumea_articulata",0.0840386231071905,-0.0821245124346187,-0.0221304434803332,0.295849118063967,-0.0110130329596507,0.0687329024154382,-0.10616491178439,-0.203260696655398,0.315343111199134,0.154789852752647,-0.0969328674194153,-0.333845719295909,-0.102455896961708,-0.258438100230728,1,0.0930471878310797,0.035396230037578,0.0376917618906232,-0.377679925424002,-0.072018139590668,-0.0569230756901006,-0.162676058422671,-0.116099106833912,-0.0340570862116584,-0.0935377351158343,0.228011422849353,0.283899158556725,0.0680187355152139,-0.112579439634453,0.0415377542177463,0.169525112612431,-0.0211387301992339,-0.0010523963305019,-0.221806804656813,-0.155531408204206,-0.0297155473319555,0.091900042541171,-0.190318514510015,-0.114786296370423,0.242467737839496,-0.117513636609189
"Beaufortia_elegans",0.00722373581949698,-0.116314780326609,0.111074781613939,0.234000718976026,-0.0702396312172197,0.100585524751529,0.127027775821353,0.207985858242002,0.324017301006826,-0.105361481818015,0.0756764897301361,-0.308952271329901,0.144828831083456,0.177144940650003,0.0930471878310797,1,0.0220827607488023,0.171139674919554,-0.209847674305001,-0.0809621313995975,0.0185287978281822,0.21973271871171,0.0487183120844953,-0.0407590138703031,0.129734397694083,0.151607764550494,0.0450059776959946,0.144074797976181,-0.0709687736954419,0.241035762803989,-0.0496024502473449,0.104177460622256,0.300389362156169,-0.168275328894203,-0.228484540503896,-0.0878540150078327,0.132961823477882,-0.19434392611348,-0.139879545664052,0.213006884060646,-0.0801338519896918
"Caladenia_flava",0.0169168485960598,-0.0121781649268862,0.00496802995314205,0.0607699583514529,-0.00705189315807293,0.0177210019092703,-0.00313426199194966,-0.0328234252367409,0.0646899319173668,0.0214034053042302,-0.00556187580351836,-0.0586888249204694,-0.0044031115832127,-0.0416243670465105,0.035396230037578,0.0220827607488023,1,-0.00244552939175627,-0.065154568699609,-0.0120707265460495,-0.0101611245999768,-0.0305797638142783,-0.00601501815446598,-0.00274258139433443,0.000754935407344024,0.0417042049325705,0.055522663008715,0.0174990916889672,-0.0220507558155754,0.0187471482797184,0.0333235875226615,-0.000594596559656461,-0.000845351660043921,-0.0372729791594272,-0.0316680235577018,-0.00376133879731052,0.0149830215773165,-0.0314300556175203,-0.010603785222008,0.0638353120820267,-0.0210198837582535
"Comesperma_virgatum",-0.00735736971091506,-0.0476869459887881,0.0450307865709799,0.0696067006263819,-0.0315099715690244,0.0393937294537274,0.068813101057097,0.139770070010558,0.116568222803341,-0.0591377895150621,0.0391858729848776,-0.116293084635207,0.0679030881979893,0.134498304654845,0.0376917618906232,0.171139674919554,-0.00244552939175627,1,-0.057732503642779,-0.0318281239595777,0.0172279504376548,0.147879340049099,0.0287109553454226,-0.01799883266349,0.0543463301931789,0.0543050170043722,-0.019607497506314,0.0538800857793359,-0.0153371849235397,0.0964172564964904,-0.0439151910336355,0.0564262906782529,0.152665558808007,-0.0566177158059141,-0.0896651017243749,-0.0376904580373161,0.0645063652118004,-0.0716854612213804,-0.0654161296041442,0.0629206088455766,-0.0269736665516035
"Dasypogon_bromeliifolius",-0.151082775127769,0.164306990939464,0.0182498133374904,-0.576363434037212,0.0262451617523476,-0.136890589373633,0.178350372861559,0.342268368606369,-0.612423789379018,-0.242204919093998,0.172043538143708,0.673009499570819,0.154126127812009,0.463338488501949,-0.377679925424002,-0.209847674305001,-0.065154568699609,-0.057732503642779,1,0.141445763448514,0.101656500133344,0.27796293475458,0.233921069028922,0.070053747650711,0.156270463738084,-0.397707174285125,-0.510341430052182,-0.144758949574436,0.224190612265687,-0.123776774336695,-0.276071954858328,0.0293279661745405,-0.0416104216499612,0.461745907656696,0.341927078682321,0.0724059975241356,-0.164916749408925,0.40275428314484,0.246204690769185,-0.443991147661469,0.216821906544271
"Dielsia_stenostachya",-0.0237420315511094,0.040877520429669,-0.0116295901340869,-0.11745144249943,0.0154972904531871,-0.0345891895028432,0.0126394483874081,0.0225058191980443,-0.136416337992989,-0.0213866705132257,0.0207247762114647,0.14688526779186,0.00658748081773165,0.0486189007469679,-0.072018139590668,-0.0809621313995975,-0.0120707265460495,-0.0318281239595777,0.141445763448514,1,0.0156373545407377,0.017968372831114,0.0237750885690541,0.0183614719080228,0.00917145222134287,-0.0801549425736956,-0.0832999346151608,-0.0393659801773938,0.0419475494417417,-0.0531608577274694,-0.0373617010136742,-0.009064071382342,-0.0409771289894855,0.0951862115751988,0.0816077875926914,0.0260526518706526,-0.041472459113182,0.0876970552008524,0.0564354215942416,-0.0983235198066209,0.0437298626685781
"Dryandra_sp_",-0.0277930098297761,0.0134003107745809,0.0185812485097873,-0.073960912073814,-0.00709973423936573,-0.0115859852033475,0.0533581690021722,0.107836680798367,-0.0650295139484283,-0.0687011840430473,0.0410192533203786,0.0733090124351612,0.0464700901906651,0.126154416681507,-0.0569230756901006,0.0185287978281822,-0.0101611245999768,0.0172279504376548,0.101656500133344,0.0156373545407377,1,0.0953752759846961,0.0480129375711951,0.00605051007537276,0.0453446826856367,-0.0520654867178736,-0.0939944784269608,-0.00498459300501343,0.0276586522646944,0.00955319444081799,-0.0616000617906756,0.0245348555353923,0.0415930014193245,0.0564029498405419,0.0294415117362953,-0.00139112248516077,-0.00957135528853863,0.0400706645789745,0.0218597956020374,-0.0561646462540605,0.030116415644213
"Hibbertia_sp_",-0.0984869906453974,-0.017699382832849,0.10617799315293,-0.170234452106543,-0.0469896744656663,0.00848180955427388,0.228457707945205,0.500130848751229,-0.0942523525872449,-0.29741675339844,0.171224158784249,0.120184823478734,0.222987940690797,0.536716192355102,-0.162676058422671,0.21973271871171,-0.0305797638142783,0.147879340049099,0.27796293475458,0.017968372831114,0.0953752759846961,1,0.160940021644572,-0.00094029331835108,0.202124606176408,-0.128408502992992,-0.319951881183894,0.0427123389303809,0.0801822009833994,0.144319123306885,-0.243244052245147,0.13813632754958,0.273314301271821,0.114105554402698,-0.0184020005068612,-0.0467397254855218,0.0268561690439176,0.0547800140740996,-0.009558948456841,-0.103834859354419,0.062425485528911
